# Neural Network with 1318551 learnable parameters

## Layer information

  #  name     size
---  -------  --------
  0  input    3x40x40
  1  conv1    32x38x38
  2  pool1    32x19x19
  3  conv2    64x18x18
  4  pool2    64x9x9
  5  conv3    128x8x8
  6  pool3    128x4x4
  7  hidden4  500
  8  hidden5  500
  9  output   3

  epoch    train loss    valid loss    train/val    valid acc  dur
    208       0.03056       2.74882      0.01112      0.66088  44.36s
    209       0.03000       2.85564      0.01051      0.66088  44.48s
    210       0.03117       2.74463      0.01136      0.66283  44.30s
    211       0.02951       2.79267      0.01057      0.66478  44.21s
    212       0.02932       2.79328      0.01050      0.66016  44.24s
    213       0.03081       2.82528      0.01091      0.65820  44.37s
    214       0.03125       2.85401      0.01095      0.66478  44.39s
    215       0.02911       2.80487      0.01038      0.66016  44.28s
    216       0.02780       2.79691      0.00994      0.65625  44.32s
    217       0.02823       2.81906      0.01001      0.66283  44.26s
    218       0.03164       2.80469      0.01128      0.66088  44.23s
    219       0.02891       2.80033      0.01032      0.65430  44.30s
    220       0.02824       2.81047      0.01005      0.65820  44.29s
    221       0.02869       2.82472      0.01016      0.66674  44.25s
    222       0.02845       2.83384      0.01004      0.66088  44.27s
    223       0.02966       2.76546      0.01073      0.64844  44.30s
    224       0.02863       2.76258      0.01036      0.65892  44.27s
    225       0.03036       2.84404      0.01068      0.67331  44.30s
    226       0.03109       2.80875      0.01107      0.65502  44.26s
    227       0.02812       2.73733      0.01027      0.65892  44.24s
    228       0.03110       2.78314      0.01117      0.65892  44.25s
    229       0.02794       2.83164      0.00987      0.66283  44.46s
